glass_nb_3_train,4.408163265306122,0.5061728395061729,0.511904761904762,0.5090226649343151
glass_nb_2_test1,4.3584905660377355,0.4508547008547008,0.35597572362278246,0.3978365800705232
glass_nb_3_test2,4.326530612244898,0.36089573494327865,0.3878384687208216,0.3738823430886568
glass_nb_3_test1,4.169811320754717,0.17637540453074432,0.19791666666666666,0.18652616409979283
glass_nb_1_test2,4.505050505050505,0.6041866849691145,0.4907888407888408,0.5416159096903722
glass_nb_1_test1,4.190476190476191,0.25859106529209624,0.2251984126984127,0.2407423066894982
glass_nb_4_train,4.539999999999999,0.3566120979914083,0.6076923076923076,0.44946476963514675
glass_nb_5_test2,4.446428571428571,0.2780274656679151,0.3872863247863248,0.3236855658580817
glass_nb_5_test1,4.1521739130434785,0.17765567765567766,0.17777777777777778,0.17771670674453224
glass_nb_5_train,4.214285714285714,0.33818770226537215,0.3141025641025641,0.32570047387335815
glass_nb_4_test2,4.46,0.5060325476992144,0.49996229260935143,0.5029791059466053
glass_nb_4_test1,4.384615384615385,0.3829365079365079,0.37354497354497357,0.37818244392820366
glass_nb_1_train,4.3434343434343425,0.5058823529411764,0.4603174603174603,0.48202551217626594
glass_nb_2_train,4.452830188679245,0.4683333333333333,0.5629743833017078,0.5113113482234717
